date,id_str,user_name,text,time,latitude,longitude
2018-05-09,299217642.0,0wwl,"Island living 🏝🥥🌺 @ Kapalua, Hawai",03:44:09,20.9967, -156.653
2018-05-03,1291239409.0,1fsmith1,Blessed to be home in Hawai’i for a few weeks! @ Kanaka Kav,01:25:05,19.6346908, -155.9898393
2018-05-08,120947731.0,1hawaiiboy,"The tools at the ready for afternoon strawberry mules. @ Kalaoa, Hawai",20:13:31,19.723, -156.005
2018-04-30,120947731.0,1hawaiiboy,Spirits @ Sansei Waikolo,23:31:26,19.91383842, -155.87940562
2018-05-02,120947731.0,1hawaiiboy,Pint and a shot#guinness #tullamoredew @,09:01:52,19.92545, -155.88433
2018-05-08,1534514100.0,24k_purelife,***NEW CONTENT** 💯 Are you ready to change your life? @24k_purelife,22:50:39,20.91312, -156.69244
2018-05-05,1534514100.0,24k_purelife,"Until you value yourself, you won’t value your time. Until you value your",08:19:23,20.8861, -156.675
2018-05-01,1599495050.0,2boldlygotravel,Another#maui #evening #walk ... Pic looking towards the West Maui #mountains,05:10:07,20.8868816, -156.4774079
2018-05-08,21552218.0,3dueces,I gotta thank the boys at hopupmagazine for leading me to this,20:32:09,20.68377868, -156.4417521
2018-04-30,389149597.0,3rdGalaxiArt,pnUuJT2ZE3 Pure Silver Triple Wrapped Rings|Pure .999 Solid Silver||10 Gauge Thick,01:20:31,19.64188, -155.99315
2018-05-06,1720077240.0,808Plate,Feliz Cinco do Mayo `Ohana. 🤙🏽 #808plate~📍Pint &amp; Cork #Wailea #Maui #Hawaii,03:27:32,20.68711, -156.4403
2018-05-01,465466342.0,995x,.day 8.今日からMaui,07:31:00,20.9348, -156.679
2018-04-30,465466342.0,995x,.#ここが私のアナザースカイ.⬆︎やりました（笑）.Green sands beachの岩？の上からの絶景🙏✨✨荒々しくも美しい🙏✨✨.明日でBig,05:29:23,18.93633278, -155.64671239
2018-05-08,33437372.0,AKLMaui,One of our own from our lavender Ohana has family and friends in Puna where,00:19:48,20.73340003, -156.31940712
2018-04-30,33437372.0,AKLMaui,You can find this French variety of lavender in our delicious scones!,22:13:26,20.73340003, -156.31940712
2018-05-06,33437372.0,AKLMaui,"#spottedinthegarden Aseroe Rubra, aka the “anemone stinkhorn” or “starfish",01:57:53,20.73340003, -156.31940712
2018-05-07,33437372.0,AKLMaui,Our lovely Lavender Body Butter Creme 16oz is made with all organic,00:21:37,20.73340003, -156.31940712
2018-05-08,33437372.0,AKLMaui,We will be at Seabury Hall on May 12th with all of our lavender products!,01:06:59,20.73340003, -156.31940712
2018-05-01,119785955.0,AdamBuzz,Riley absolutely loved the beach and showed no fear of the waves. She wanted,23:51:32,19.82792, -155.99132
2018-05-01,40012546.0,AdrianNBCLA,It’s all about the journey! Good night!  🌊 🌅 ⛵️ #sunset #makena #maui #hawaii,02:28:01,20.6575, -156.445
2018-05-08,40012546.0,AdrianNBCLA,"Someone told me he’s going to Maui, specifically Wailea. I",02:44:14,20.68303027, -156.44276845
2018-05-04,40012546.0,AdrianNBCLA,⛪ 🌊 🌴 🌅 Keawala’i Church: What a spectacular setting for a church — right on,02:29:56,20.6498871, -156.4410553
2018-05-07,40012546.0,AdrianNBCLA,"Feeling grateful as another weekend comes to an end. Thankful for family,",02:20:55,20.6575, -156.445
2018-05-04,205805489.0,AdventurousZ,What mountains have you been climbing lately?🌄This week for me was all,17:27:39,20.8861, -156.675
2018-04-30,2650743527.0,AhlgrenJoachim,Me and my ninja moves 🤘🏾 #sunset #ninja #jump #hawaii #maui #hörs @ Hyatt Regency Maui Resort &amp; Sp,06:18:38,20.91312, -156.69244
2018-05-06,1575202140.0,AirHawaiiNet,キラウエア火山の噴火🌋近隣の方々は大丈夫かな…大自然と共存してる以上、仕方のないことだけれども、、心配ですね😔 場所: Volcano National,06:18:52,19.61838, -155.98554
2018-05-05,1947483542.0,AlainaFuata,"“She is Pele-honua-mea, Pele of the sacred land. She is Pele-‘ai-honua, Pele",04:29:08,19.4735, -154.92
2018-05-03,50324861.0,AlexVNolan,#BLOGGED {link in profile} Hawaiian 🌺 Sunsets 🌅 on the dotcom. Check out the,13:59:51,20.69138479, -156.44388733
2018-05-04,50324861.0,AlexVNolan,I haven’t been posting much lately. It’s because I’ve been getting good,16:31:09,20.98590154, -156.66873096
2018-05-06,50324861.0,AlexVNolan,Jurassic Park looking scene from Maui. Minus dinosaurs 🦕🦖 of course #maui,14:28:46,20.98590154, -156.66873096
2018-05-03,50324861.0,AlexVNolan,#BLOGGED Hawaiian 🌺 Sunsets 🌅 on the dotcom. Check out the unparalleled,14:01:45,20.69138479, -156.44388733
2018-05-07,50324861.0,AlexVNolan,Man crushed by this studly sea 🌊 god emerging from the waves. The adventures,11:31:17,20.69138479, -156.44388733
2018-05-05,396814134.0,AlikaHoomana,My brother @808_ho and I were Chaperones for My Son &amp; Niece for their 5th,02:06:10,19.6736, -156.029
2018-05-06,396814134.0,AlikaHoomana,My Ho’omana’s are My Strength &amp; I Love them Un-Condition-ally 😘😘💪🏽Mahalo,03:45:48,19.66991218, -155.98486675
2018-05-08,396814134.0,AlikaHoomana,Contact me for pick ups for today 👍🏽Drop off spot Wednesday 8am,18:18:18,19.65, -155.994
2018-05-01,396814134.0,AlikaHoomana,@ehunuikaimalino Lā Mei 2018_boomboom_10 papa 5 #TeamHoomana #ProudDaddy,21:48:06,19.5091152, -155.9171938
2018-05-04,396814134.0,AlikaHoomana,Now Available💪🏽 So Stoked!!!!!Custom decals made by ms_sheabeee contact her,04:47:52,19.65, -155.994
2018-05-03,396814134.0,AlikaHoomana,Yesterday’s Outdoor Fun had Kettle Bells on the Menu 💪🏽 Great job 8am &amp; 5pm,16:03:36,19.65, -155.994
2018-05-28,121470570.0,Alphapug,Drinking a Lahaina Town Brown by @MauiBrewingCo @ Cool Cat Cafe — QM20P,22:44:42,20.8723, -156.677
2018-05-04,266281691.0,AlyaShowroom,"Yesterday’s adventure to see madam Pele 🌋 @ Volcano National Park, Kilaue",22:42:38,19.61838, -155.98554
2018-05-04,288973089.0,AmeenaMatthews,Salaams Wow!! I Seen Fire&amp;Rain!All always thaught that I see,12:34:38,19.9240327, -155.88749886
2018-05-05,288973089.0,AmeenaMatthews,"SalaamsPraying for our Families,Friends and all love ones on The Big Island.",12:10:58,19.64188, -155.99315
2018-05-02,614577332.0,AndazMaui,Artwork stay on the table. We get to it bumbye 🌴☀️ (Translation: The artwork,18:02:12,20.692604, -156.442535
2018-05-01,614577332.0,AndazMaui,It’s lu’au Tuesday! It’s a beautiful day to get your tickets for our intimate,20:59:37,20.692604, -156.442535
2018-05-02,235712654.0,AndreaneC,The best feeling in the whole world is watching things finally fall into,15:54:02,20.8868816, -156.4774079
2018-05-08,2528602472.0,Angelfacemu,"Before I go to sleep, I must say that my #MCM is none other than my",06:05:59,20.8676, -156.67531
2018-05-01,16514093.0,AnthonyHitt,A beautiful #maui #moon on a cloudy night in #hawaii. #aloha @ Cove Par,06:59:01,20.7287148, -156.45058083
