date,id_str,user_name,text,time,latitude,longitude,interest
2018-05-29,401257758.0,ArcturusFlyer,south point,01:06:45,18.9121422, -155.6819064,False
2018-05-29,71276351.0,HI_physician,want work envision we hiring kealakekua hi click details iezmxjqy,01:06:02,19.5208333, -155.9225,False
2018-05-28,618294231.0,_grammar_,it drcameronmurray could posted “ time missing ” instead ‘ your ’ possessive determiner ‘ ’,23:34:00,18.21528411, -155.82388267,False
2018-05-28,19560314.0,rockyrooo,yum yum yum yum yum drinking malolo special pale bigislandbrew big island brewhaus,22:58:43,20.0247, -155.662,False
2018-05-28,19560314.0,rockyrooo,never lined red ipa drinking red giant ale bigislandbrew big island brewhaus,22:48:18,20.0247, -155.662,False
2018-05-28,121470570.0,Alphapug,drinking lahaina town brown mauibrewingco cool cat cafe — qmp,22:44:42,20.8723, -156.677,False
2018-05-28,326031856.0,ToyamaKumicho,i makawao forest reserv,21:16:47,20.83175207, -156.2756346,False
2018-05-28,302206097.0,LithiaJobs,this job might great fit lube technician foyuuwnqnf automotive kahului,19:42:34,20.8901116, -156.4614301,False
2018-05-28,7.746949261352223e+17,ilovethisbot,i 🛀 🏼 hil,11:00:03,19.7, -155.1,False
2018-05-28,401257758.0,ArcturusFlyer,margherita pizza dinner dona amp toni hilton waikoloa,05:27:14,19.9276725, -155.8864026,False
2018-05-28,75726937.0,tolehico,わざわざハワイ島経由で帰るという … 笑 コナ国際空港 kailua kona hi,02:59:04,19.73549893, -156.04078617,False
2018-05-27,401257758.0,ArcturusFlyer,angel ponders just finished listening kim coco iwamoto speak party state convention dphconvention,23:38:09,19.924535, -155.8866757,False
2018-05-27,19560314.0,rockyrooo,drinking lemongrass luau konabrewingco konabrewingco,22:59:59,19.6429, -155.998,False
2018-05-27,19560314.0,rockyrooo,this place awesome and food oh lord foood drinking hanalei island ipa konabrewingco,22:44:41,19.6429, -155.998,False
2018-05-27,31082700.0,ecokid_pt,late night commute beautiful crisp air ☕ ️ 🤩 mauna kea state park hi,10:44:52,19.74886852, -155.5265416,False
2018-05-27,3048544857.0,googuns_lulz,dcebcadccadfddcbbfbcdbbabeddbecaadafbdbdabdbd,05:36:00,17.98106734, -155.13275789,False
2018-05-27,401257758.0,ArcturusFlyer,til abc stores runs supermarket waikoloa named island gourmet market,04:43:44,19.9135233, -155.8804424,False
2018-05-27,235344160.0,itsLeeOliver,nice lahaina pizza co lahaina hi yuljsege,03:59:56,20.87412071, -156.67860053,False
2018-05-27,401257758.0,ArcturusFlyer,such humid very vog so kona,01:43:15,19.9255363, -155.888214,False
2018-05-26,401257758.0,ArcturusFlyer,merumorimaru charibdys the democratic party hawaii invited speak state convention year,23:00:57,19.9242298, -155.883005,False
2018-05-26,401257758.0,ArcturusFlyer,charibdys merumorimaru your man senjeffmerkley long way home,22:39:03,19.924535, -155.8866757,False
2018-05-25,109434427.0,KABrods,😍 🌺 🌹 🌷 💐 🌸 🌼 🌻 🌞 ☀ ️ hawaii,22:57:02,20.88172105, -156.43705165,False
2018-05-25,29691767.0,MissChunLii,newprofilepic ibeenon chunl,19:34:49,19.0942227, -155.7919411,False
2018-05-25,763645296.0,miss_sound,don go chasing waterfalls hawaii bigislan,09:26:26,19.5755022, -154.9625105,False
2018-05-25,3048544857.0,googuns_lulz,dcecabdbfedfcacbdcfefebaefaecadfecdbdccdfd,09:22:00,18.25554711, -157.03677009,False
2018-05-25,7.373430321781678e+17,SomeWhereBot,are placid 🇺,04:11:51,20.99731189, -156.64993425,False
