date,id_str,user_name,text,time,latitude,longitude,interest
2018-05-06,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km ese pahala hawaii depth,20:30:04,19.078166699999997,-155.1876667,1
2018-05-06,18645703.0,syvideo,adventures covering lava flow hilo hi leilani estates hawai,18:18:05,19.4735,-154.92,1
2018-05-06,1714726381.0,itsnotben,hawaii round hours airplane earthquakes volcano eruptions,17:38:12,19.431649,-155.21687,1
2018-05-06,2918152536.0,eq_map_es,【 m 】 isla de hawaii hawaii km utc sismo terremoto g odudgvstj usg,13:30:49,19.046,-155.173,1
2018-05-06,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km sw leilani estates hawaii depth,08:20:04,19.371334100000002,-155.0338287,1
2018-05-06,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km sse volcano hawaii depth,07:15:04,19.047500600000003,-155.0298309,1
2018-05-06,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km se leilani estates hawaii depth,07:05:04,19.4314,-154.8766,1
2018-05-06,2918152536.0,eq_map_es,【 m 】 isla de hawaii hawaii km utc sismo terremoto g oybtlviegt usg,05:53:20,19.419,-155.21200000000002,1
2018-05-06,2918152536.0,eq_map_es,【 m 】 isla de hawaii hawaii km utc sismo terremoto g rbqqphvr usg,04:44:19,19.425,-155.22299999999998,1
2018-05-06,15346615.0,TrevorHughes,five homes confirmed destroyed lava flow big island hawaii here ’ look vents steaming eve,04:26:56,19.4804455,-154.83270102,1
2018-05-06,362001998.0,jaynedmc,bigislandlove hawaii bigisland maunalani whatabeautifulworld luckyme,03:44:32,19.94180051,-155.87206692,1
2018-05-06,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km ssw volcano hawaii depth,01:30:05,19.399166100000002,-155.24732969999997,1
2018-05-06,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km ese pahala hawaii depth,00:10:05,19.071666699999998,-155.173172,1
2018-05-05,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km s leilani estates hawaii depth,23:55:04,19.2192,-154.8974,1
2018-05-05,933003360.0,educaciondecr,earthquake km e pahala hawaii earthquake advisory,20:29:00,19.2096672,-155.321167,1
2018-05-05,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km sse pahala hawaii depth,20:15:04,19.0936667,-155.21183330000002,1
2018-05-05,3568272253.0,CaraMel_HI,i told i coming 🔥 pele lava hawaii hawaiinewsnow goddess the,19:46:58,19.99806,-155.81602,1
2018-05-05,933003360.0,educaciondecr,earthquake km sw leilani estates hawaii earthquake warning,14:13:17,19.3701992,-155.0321045,1
2018-05-05,2918152536.0,eq_map_es,【 m 】 region de hawaii hawaii km utc sismo terremoto g igufpwydu usg,13:34:00,18.765,-155.3066,1
2018-05-05,30686318.0,glemaud,hawaii 🙏 🏿 🌋 volcano national park kilaue,12:48:38,19.61838,-155.98554,1
2018-05-05,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km e pahala hawaii depth,08:15:05,19.231500600000004,-155.3368378,1
2018-05-05,8.14915059629441e+17,Hazards_Network,monday january an earthquake magnitude shook km se volcano hawaii depth,08:10:05,19.2693329,-155.0946655,1
