id_str,screen_name,created_at,latitude,longitude,text
42138551,mlkmus,Wed May 09 14:56:49 +0000 2018,20.98590154, -156.66873096,Happy #WhaleWednesday - Humpback Whale Fluke taken from aboard the
362523555,QuakesToday,Wed May 09 14:45:10 +0000 2018,19.3, -155.248,"1.9 magnitude #earthquake. 16 km from #Volcano, HI, United State"
362523555,QuakesToday,Wed May 09 14:20:04 +0000 2018,19.392, -154.928,"2.3 magnitude #earthquake. 9 km from Leilani Estates, HI, #UnitedState"
79450692,LaSardineCan,Wed May 09 14:16:38 +0000 2018,19.42918452, -155.25757285,Just posted a photo @ Hawaii Volcanoes National Par
221399915,KelseyMarier,Wed May 09 14:11:12 +0000 2018,20.98777778, -156.66777778,"Collect moments, not things @ Napili, Hawai"
362523555,QuakesToday,Wed May 09 14:05:05 +0000 2018,19.419, -154.909,"1.8 magnitude #earthquake. 6 km from #LeilaniEstates, HI, United State"
43163920,GevaNeva,Wed May 09 14:00:11 +0000 2018,19.49378056, -155.00968889,Island Of Hawai'i Volcano UpdateOfficial Statement On Current
362523555,QuakesToday,Wed May 09 13:55:06 +0000 2018,19.407, -155.266,"2.1 magnitude #earthquake. 5 km from Volcano, #HI, United State"
17199767,EdTecHakk,Wed May 09 13:15:54 +0000 2018,20.8861, -156.675,"Happy Birthday to my beautiful wife, and"
362523555,QuakesToday,Wed May 09 13:10:04 +0000 2018,19.329, -155.104,"1.8 magnitude #earthquake. 19 km from Volcano, #HI, United State"
362523555,QuakesToday,Wed May 09 13:00:05 +0000 2018,19.171, -155.134,"2.2 magnitude #earthquake. 32 km from Volcano, HI, #UnitedState"
362523555,QuakesToday,Wed May 09 12:50:06 +0000 2018,19.403, -155.292,"1.9 magnitude #earthquake. 8 km from #Volcano, HI, #UnitedState"
362523555,QuakesToday,Wed May 09 12:50:05 +0000 2018,19.362, -155.005,"2.3 magnitude #earthquake. 15 km from Leilani Estates, HI, #UnitedState"
